text,author,date,title
"derbiye yüklenene kadar albayrak ve diğerlerinin derbiden sonra nerelere gittikleri, kimlerle görüştükleri incelenirse asıl kaynak ortaya çıkabilir.dünkü muhabbet olayın sıcaklığıyla kurban arama muhabbetiydi.top toplayıcı, basın vs vs denmiş, e tabi bunlar beşiktaşlılarla hiç muhatap olmadılar.neyse bir fatih hoca ve galatasaray'a geçmiş olsun.",maximum,24.03.2020 20:00,beşiktaş covid-19 testlerinin negatif çıkması
bu maçı haklı mı çıkarır? belki de maç oynanacağı için temas kurulması gereken*birilerinden bulaşmıştır. biz bjk’den mi bulaştı dedik aq?tanım: arsızların oynanmaması gereken maçı aklama çabaları.,cupakabrakazim,24.03.2020 20:02,beşiktaş covid-19 testlerinin negatif çıkması
bunlar tam bir geri zekalı ya bir söz var dinde; sebep olan yapan gibidir,django0,24.03.2020 20:07,beşiktaş covid-19 testlerinin negatif çıkması
şükürler olsun.galatasaray başkanı dinlenseydi derbi seyircili oynanacaktı. tüm tedbirleri aldık demişti.neyse ki seyircisiz oynanan maçta da hastalık henüz yokmuş ki negatif çıktı beşiktaş ekibi.hastalananlara tekrar geçmiş olsun.,quotron,24.03.2020 20:25 ~ 20:26,beşiktaş covid-19 testlerinin negatif çıkması
"sevindirici gelişmedir.galatasaraylılara maçta mı bulaştı maçla alakası olmayan başka bir şekilde mi bulaştı bilmiyorum. ancak sormak isterim. dünden beri federasyona ve beşiktaşlılara küfreden galatasaraylılar, virüs bulaşmasının maç ile ilintili olduğuna nasıl bu kadar emin oluyorlar? bir soru daha, ya maçtan sonra bulaştıysa edilen beddua ve küfürlerden utanacak mısınız?",liku it,24.03.2020 20:32,beşiktaş covid-19 testlerinin negatif çıkması
bu süper boktan günlerde mutlu eden haberdir.beşiktaş camiasına büyük geçmiş olsun.,khellendros,24.03.2020 20:52,beşiktaş covid-19 testlerinin negatif çıkması
"bazıları demek ki fatih terim’e maçta olmamış diye seviniyor.oğlum gerçekten ne yaşıyorsunuz ya. terim maçtan önce kapmış olabilirdi, bir galatasaraylı futbolcuya bulaştırmış olabilirdi, o da 11 beşiktaşlıya onlar da tüm kulübe bulaştırmış olabilirdi.olmamış olması bu ihtimali gözardı etmeyi gerektirmez. olay terim’in nerede kaptığı değil bu tehlike varken maçı oynatmaktı.1 puanı aldınız, kına yakın!",daha cok beklicez mi abi,24.03.2020 20:56,beşiktaş covid-19 testlerinin negatif çıkması
"hani herkes eşitti, yine fakirler sıralara girip beklesin sonra test yaptıramadan geri dönsünler.",fistikbenimolacak,24.03.2020 20:58,beşiktaş covid-19 testlerinin negatif çıkması
"çok sevindiren gelişmedir. yine de ne olur ne olmaz diyerek önlemlerini almalı beşiktaş kulübü. bunun yanında biz galatasaraylıların tepkisinin beşiktaş’la hiçbir alakası yok. bizim tepkimizin kimlere olduğu belli. abdurrahim başkana ve hocaya virüsün nasıl,nerede ve ne zaman bulaştığı halen belli değil.bakın şampiyonluk,derbi galibiyeti ya da gelecek maddi kaynaklar zerre umrumda değil. benim derdim insanlar. o stadda 1000 tane görevli vardı o gün.",faizlobisinincaycisi,24.03.2020 20:58,beşiktaş covid-19 testlerinin negatif çıkması
beşiktaş’ın aldığı aksiyonu çok değerli buluyorum. bu sayede olayın başka yerlere çekilmesi engellenmiş oldu en azından bu süreç hiç bir şart ve koşulda beşiktaş ile ilişkilendirilemeyecek.,maksimaks,24.03.2020 21:00,beşiktaş covid-19 testlerinin negatif çıkması
doğruysa beşiktaşım ucuz atlatmış dediğim güzel haberdir.gs'den virüs kapılabilirdi.,balthazar blake,24.03.2020 21:01,beşiktaş covid-19 testlerinin negatif çıkması
"bu adamların gerçekten anlama kıtlığı var yada cidden tiner içiyorlar! beşiktaş maçı için futbolcular 1 haftadır tesislerde antrenman yapıyor. ligler 4,5 gün önce ertelense bu adamlar antrenman yapmayacak ve virüs kapmayacaktı.",mr zecg,24.03.2020 21:06,beşiktaş covid-19 testlerinin negatif çıkması
"ekşi sözlük beyni yanmış tim geldiğine göre anlatalım arkadaşlar çok futbolla alakalı değilim ama salak mısınız teknik heyet ve beşiktaş oyuncularında çıkmaması o saha da kapmadıklarını nasıl açıklayabilir? top toplayıcılara yapılmış mı? saha görevlilerine bu test yapılmış , hakemlere yapılmış mı? bu saydıklarım ilk temas edecekleri insanları ve niceleri daha vardır şöföründen tutun kaldıkları yere kadar önem arz eder.bir fenerbahçeli olarak fatih terim ve abdurrahim albayrak'a geçmiş olsun dileklerimle",sadecegerceklerikonusanadam,24.03.2020 21:07,beşiktaş covid-19 testlerinin negatif çıkması
bir kaç gün sonra tekrarlanmalı. çünkü pozitif çıkabiliyor.,metalpago,24.03.2020 21:10,beşiktaş covid-19 testlerinin negatif çıkması
hiç kimse galatasaray beşiktaştan virüs kaptı diye ibne ibne konuşmasın. çok net söylüyorum ibnelik yapmayın.yukarıda birkaç ibne görüyorum onlar için söyledim.,maksimaks,24.03.2020 21:11,beşiktaş covid-19 testlerinin negatif çıkması
"gsliler pisliğinizi bize bulastirmayın.boylece,federeasyon ve hükümete sallayanlar yavaş yavaş entry silmeye başlayabilirler.*",isteoylesine,24.03.2020 21:18,beşiktaş covid-19 testlerinin negatif çıkması
algıcı sarışın orospuların uğramayacağı başlık olacaktır biz inadına gündemde tutalım,siparisi koreden 75 gunde gelen adam,24.03.2020 21:45,beşiktaş covid-19 testlerinin negatif çıkması
güzel haberdir..mustafa cengiz ve algıcı renklilere selam olsun.,alvinkan,24.03.2020 21:47,beşiktaş covid-19 testlerinin negatif çıkması
"hastalik belirtisi gostermeden de, paraniz varsa kafaniza gore istediginiz testi yaptirabileceginizi gosteren guzel haber. futbol kulupleri umarim bu testler icin, alt liglerde oynayan futbolculara, sporculara da destek olur.burada gelip fatih terim, galatasaray, mac duyari da kasmayin artik. o mac oynandiginda futbolcular ve calisanlar icin risk tasiyordu. seyircisiz oynatarak en azindan buyuk kitlelere yayilma ihtimali azaldi. yine de o hafta oynanan maclarin hepsi ertelenmesi gerekiyordu.",hop hop hop temas yok,24.03.2020 22:05,beşiktaş covid-19 testlerinin negatif çıkması
"""patient zero"" denen kavramı biraz yerel bir kavram olarak değiştirelim (tam türkçe karşılığını bilen varsa mesaj atsın, onu kullanayım). türkiye'deki ilk patient zero farklı, ankara'daki patient zero farklı olabilir. bu olayda da yerel olarak maçın oynandığı stadı düşünelim.fatih terim'in corona testinin pozitif çıkmasıyla beraber galatasaray - beşiktaş maçına dönmüştü gözler. beşiktaş tarafının testleri negatif çıkmış. eğer pozitif çıksaydı oldukça kirli bir bilgi olacaktı (olayın aydınlatılması açısından, daha farklı bir kelime kullanmam gerekirdi belki, bulanık denebilir kirli yerine). negatif çıkması ise ilgili maç esnasında da beşiktaşlı futbolcuların negatif olduğunu gösterir. virüsün hangi şartlarda hangi olasılıkla yayıldığı tam olarak bilinmiyor. ancak, 90 dakika nefes nefese, bol temaslı oynanan bir sporda sanırım bir futbolcuda pozitif vaka olsa eminim birçok futbolcuya da yansırdı. benzer şekilde maç öncesi ya da sonrası futbolcularla temas halinde olan teknip ekipte de bu virüsün görülmesi yüksek olasılık. ayrıca teknik ekipte olan bir virüsün futbolcuya, futbolcuda olan bir virüsün teknik ekibe geçmesi arasında da bir fark olmaz sanıyorum.güvenlik güçleri, yöneticiler vs. için ise durum biraz daha farklı. bu kişilerin futbolcular ve teknik ekiple olan teması daha kısıtlıdır muhtemelen. o yüzden eğer virüsün albayrak ve terim'e maç esnasında bulaştığı düşünülüyorsa bu kişiler tarafından bulaşmış olmalı.ancak, çoğu istatistikte insan davranışları dikkate alınmadan ""1 kişi 3 kişiye bulaştırır, 3 kişi 20 kişiye bulaştırır"" tarzı istatistikler pek anlam ifade etmiyor. sosyalleşme özürlü soğuk insanların virüsü yayma olasılığı ile rahmetli (bkz:hasan celal güzel) gibi yakaladığının elini tutup şap şap öpüşen insanların virüsü yayma olasılığı farklı. rahmetli hasan celal güzel yaşasaydı virüsü tek başına ülkeye yaymaya yeterdi eminim*neyse herkes anladı söylemek istediğimi. abdürrahim albayrak sosyal ortamda oldukça samimi bir insan. yanlış anlaşılmak istemem ama coronavirüs futbol dünyasında ilk kimde görülür diye bir anket yapılsa %95 abdürrahim albayrak çıkardı anketten. dolayısıyla ben abdürrahim albayrak'ın virüsü maç esnasında ya da maç olması sebebiyle gelişen olaylar esnasında kaptığına pek inanmıyorum. abdürrahim albayrak virüsü kaptıktan sonra da fatih terim'in kapması eşantiyon gibi bir şey zaten.gerizekalı tff ve muhtemelen tepedekilerin baskısıyla nihat özdemir olayı sulandırmak yerine baştan çözüp maçları ertelemeliydi. bu kadar silik, basiretsiz bir başkan olarak olayı sulandırır ve maçları ertelemek yerine nazlı gelin gibi yok oynatalım, aman bir de seyircisiz mi denesek, yok play stationda mı karşılaşsalar diye mal mal kararlar alırsan fatih terim gibi bir ağır top virüsü kaptığında böyle götünde patlar her şey.bir adama nişan alıp ıskalayınca eylemin niyeti kaybolmuyor ortadan. 99 maçta kimse virüs kapmaz ama 1 maçta virüs kapabilir. senin görevin futbol nedenli bir virüs yayılımının önüne geçmek, riskini bile almamak. ama 3 kuruş çıkar için insanların ölmesi bile umrunuzda olmadığı için şaşırmıyoruz. şimdi bu virüs nedeniyle insanların öncelikleri değişti. ama ortalık durulunca ilk iş kıçınıza tekmenin vurulması olacak.",ortadoguda yeniden dagitilan kart,24.03.2020 22:48 ~ 22:52,beşiktaş covid-19 testlerinin negatif çıkması
